base_index,variant,source,mirrored,rival_side,winner,outcome,elapsed_ticks,elapsed_seconds,rival_inherited_original_physical_car,rival_closest_to_ball,ball_field_third,ball_height_band,rival_boost_advantage,touch_rival,touch_nexto,demo_rival,demo_nexto,possession_total_rival,possession_same_rival,possession_opponent_rival,goal_entry_valid,goal_entry_x,goal_entry_z
291,1,rival_stochastic,False,1,0,nexto,788,6.566666666666666,Orange,False,middle,mid,-73.11099243164062,0,4,0,0,0,0,0,False,742.0699462890625,188.78370666503906
291,2,rival_stochastic,True,0,1,nexto,788,6.566666666666666,Orange,False,middle,mid,-73.11099243164062,0,4,0,0,0,0,0,False,745.5944213867188,187.99618530273438
291,3,rival_stochastic,True,1,0,nexto,817,6.808333333333334,Blue,True,middle,mid,73.11099243164062,2,16,0,0,2,1,1,False,-475.4248352050781,209.82542419433594
292,0,rival_stochastic,False,0,1,nexto,775,6.458333333333333,Blue,True,middle,mid,0.0,0,6,0,0,0,0,0,False,636.98388671875,484.5381774902344
292,1,rival_stochastic,False,1,0,nexto,900,7.5,Orange,False,middle,mid,0.0,2,6,0,0,2,1,1,False,-731.3728637695312,96.70976257324219
292,2,rival_stochastic,True,0,1,nexto,899,7.491666666666666,Orange,False,middle,mid,0.0,2,6,0,0,2,1,1,False,-738.0506591796875,96.68071746826172
292,3,rival_stochastic,True,1,0,nexto,779,6.491666666666666,Blue,True,middle,mid,0.0,0,6,0,0,0,0,0,False,627.609619140625,472.8582458496094
293,0,rival_stochastic,False,0,1,nexto,1182,9.85,Blue,True,orange,ground,-33.555389404296875,1,59,0,0,1,0,1,False,-271.9264221191406,93.13732147216797
293,1,rival_stochastic,False,1,0,nexto,338,2.816666666666667,Orange,False,orange,ground,33.555389404296875,0,3,0,0,0,0,0,False,-388.6622619628906,383.0697937011719
293,2,rival_stochastic,True,0,1,nexto,338,2.816666666666667,Orange,False,blue,ground,33.555389404296875,0,3,0,0,0,0,0,False,-388.6619873046875,383.0668029785156
293,3,rival_stochastic,True,1,0,nexto,1175,9.791666666666666,Blue,True,blue,ground,-33.555389404296875,1,97,0,0,1,0,1,False,-467.7419128417969,98.35968780517578
294,0,rival_stochastic,False,0,1,nexto,471,3.925,Blue,False,blue,ground,0.0,6,2,0,0,6,5,1,False,-463.984130859375,333.7903137207031
294,1,rival_stochastic,False,1,0,nexto,1059,8.825,Orange,True,blue,ground,0.0,0,17,0,0,0,0,0,False,-133.5252685546875,93.14714813232422
