checkpoint,world,pair_key,starting_layout,rival_side,termination,winner,duration_ticks,duration_seconds,rival_touches,nexto_touches,first_toucher,rival_saves,nexto_saves,rival_flips,nexto_flips,rival_wavedash_candidates,nexto_wavedash_candidates,rival_speed_increasing_wavedash_candidates,nexto_speed_increasing_wavedash_candidates,rival_zapdash_candidates,nexto_zapdash_candidates,rival_double_dash_candidate_events,nexto_double_dash_candidate_events
plus_180,0,side0-layout0-slot0,0,Blue,goal,Nexto,2008,16.733333333333334,2,11,Rival,0,0,10,3,0,0,0,0,0,0,0,0
plus_180,1,side0-layout1-slot1,1,Blue,goal,Nexto,2068,17.233333333333334,2,7,Rival,0,0,9,4,0,0,0,0,0,0,0,0
plus_180,2,side0-layout2-slot2,2,Blue,goal,Nexto,3288,27.4,5,8,Rival,0,0,10,6,0,0,0,0,0,0,0,0
plus_180,3,side0-layout3-slot3,3,Blue,goal,Nexto,1000,8.333333333333334,2,3,Rival,0,0,5,2,0,0,0,0,0,0,0,0
plus_180,4,side0-layout4-slot4,4,Blue,goal,Nexto,1688,14.066666666666666,3,4,Rival,0,0,8,5,0,0,0,0,0,0,0,0
plus_180,5,side0-layout0-slot5,0,Blue,goal,Nexto,2628,21.9,5,9,Rival,0,0,12,4,0,0,0,0,0,0,0,0
plus_180,6,side0-layout1-slot6,1,Blue,goal,Nexto,2068,17.233333333333334,2,7,Rival,0,0,9,4,0,0,0,0,0,0,0,0
plus_180,7,side0-layout2-slot7,2,Blue,goal,Nexto,3288,27.4,5,8,Rival,0,0,10,6,0,0,0,0,0,0,0,0
plus_180,8,side0-layout3-slot8,3,Blue,goal,Nexto,1000,8.333333333333334,2,3,Rival,0,0,5,2,0,0,0,0,0,0,0,0
plus_180,9,side0-layout4-slot9,4,Blue,goal,Nexto,1688,14.066666666666666,3,4,Rival,0,0,8,5,0,0,0,0,0,0,0,0
plus_180,10,side0-layout0-slot10,0,Blue,goal,Nexto,2628,21.9,5,9,Rival,0,0,12,4,0,0,0,0,0,0,0,0
plus_180,11,side0-layout1-slot11,1,Blue,goal,Nexto,2068,17.233333333333334,2,7,Rival,0,0,9,4,0,0,0,0,0,0,0,0
plus_180,12,side0-layout2-slot12,2,Blue,goal,Nexto,3288,27.4,5,8,Rival,0,0,10,6,0,0,0,0,0,0,0,0
plus_180,13,side0-layout3-slot13,3,Blue,goal,Nexto,1000,8.333333333333334,2,3,Rival,0,0,5,2,0,0,0,0,0,0,0,0
plus_180,14,side0-layout4-slot14,4,Blue,goal,Nexto,1688,14.066666666666666,3,4,Rival,0,0,8,5,0,0,0,0,0,0,0,0
plus_180,15,side0-layout0-slot15,0,Blue,goal,Nexto,2008,16.733333333333334,2,11,Rival,0,0,10,3,0,0,0,0,0,0,0,0
plus_180,16,side0-layout1-slot16,1,Blue,goal,Nexto,2068,17.233333333333334,2,7,Rival,0,0,9,4,0,0,0,0,0,0,0,0
plus_180,17,side0-layout2-slot17,2,Blue,goal,Nexto,3288,27.4,5,8,Rival,0,0,10,6,0,0,0,0,0,0,0,0
plus_180,18,side0-layout3-slot18,3,Blue,goal,Nexto,1000,8.333333333333334,2,3,Rival,0,0,5,2,0,0,0,0,0,0,0,0
plus_180,19,side0-layout4-slot19,4,Blue,goal,Nexto,1688,14.066666666666666,3,4,Rival,0,0,8,5,0,0,0,0,0,0,0,0
plus_180,20,side0-layout0-slot20,0,Blue,goal,Nexto,2628,21.9,5,9,Rival,0,0,12,4,0,0,0,0,0,0,0,0
plus_180,21,side0-layout1-slot21,1,Blue,goal,Nexto,2068,17.233333333333334,2,7,Rival,0,0,9,4,0,0,0,0,0,0,0,0
plus_180,22,side0-layout2-slot22,2,Blue,goal,Nexto,3288,27.4,5,8,Rival,0,0,10,6,0,0,0,0,0,0,0,0
plus_180,23,side0-layout3-slot23,3,Blue,goal,Nexto,1000,8.333333333333334,2,3,Rival,0,0,5,2,0,0,0,0,0,0,0,0
plus_180,24,side0-layout4-slot24,4,Blue,goal,Nexto,1688,14.066666666666666,3,4,Rival,0,0,8,5,0,0,0,0,0,0,0,0
plus_180,25,side0-layout0-slot25,0,Blue,goal,Nexto,2628,21.9,5,9,Rival,0,0,12,4,0,0,0,0,0,0,0,0
plus_180,26,side0-layout1-slot26,1,Blue,goal,Nexto,2068,17.233333333333334,2,7,Rival,0,0,9,4,0,0,0,0,0,0,0,0
plus_180,27,side0-layout2-slot27,2,Blue,goal,Nexto,3288,27.4,5,8,Rival,0,0,10,6,0,0,0,0,0,0,0,0
