checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
plus_030,Nexto,0,0,Blue,goal,Nexto,900,2,4,Rival,0,0,2,4,4,2,0,0,0,0
plus_030,Nexto,1,1,Blue,goal,Nexto,3340,4,20,Rival,0,0,4,5,12,7,0,1,0,0
plus_030,Nexto,2,2,Blue,goal,Nexto,1836,3,5,Rival,0,1,2,3,5,4,0,1,0,0
plus_030,Nexto,3,3,Blue,goal,Nexto,4032,1,17,Rival,0,0,1,10,12,8,0,0,0,0
plus_030,Nexto,4,4,Blue,goal,Nexto,2292,2,9,Rival,0,0,2,7,8,4,0,0,0,0
plus_030,Nexto,5,0,Orange,goal,Nexto,864,2,3,Rival,0,0,2,3,4,2,0,0,0,0
plus_030,Nexto,6,1,Orange,goal,Nexto,2064,2,11,Rival,0,0,2,3,7,3,0,1,0,0
plus_030,Nexto,7,2,Orange,goal,Nexto,2260,3,5,Rival,0,1,2,3,7,3,0,1,0,0
plus_030,Nexto,8,3,Orange,goal,Nexto,900,1,3,Rival,0,0,1,3,4,3,0,0,0,0
plus_030,Nexto,9,4,Orange,goal,Nexto,1608,2,5,Rival,0,0,2,4,6,3,0,0,0,0
