checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
plus_060,Wisp,0,0,Blue,goal,Rival,576,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_060,Wisp,1,1,Blue,hard_time,None,5400,3,12,Rival,0,0,3,7,20,13,1,2,0,0
plus_060,Wisp,2,2,Blue,goal,Rival,492,1,0,Rival,0,0,1,0,2,1,1,0,0,0
plus_060,Wisp,3,3,Blue,goal,Rival,504,1,0,Rival,0,0,1,0,2,3,1,0,0,0
plus_060,Wisp,4,4,Blue,goal,Wisp,1036,3,4,Rival,0,1,3,4,6,3,2,0,0,0
plus_060,Wisp,5,0,Blue,goal,Rival,576,1,0,Rival,0,0,1,0,2,3,0,0,0,0
plus_060,Wisp,6,1,Blue,goal,Rival,548,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_060,Wisp,7,2,Blue,goal,Wisp,1120,3,4,Rival,0,0,3,4,6,3,0,0,0,0
plus_060,Wisp,8,3,Blue,goal,Rival,536,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_060,Wisp,9,4,Blue,hard_time,None,5400,4,18,Rival,0,1,3,10,16,13,0,0,0,0
plus_060,Wisp,10,0,Blue,goal,Rival,580,1,0,Rival,0,0,1,0,2,1,0,0,0,0
plus_060,Wisp,11,1,Blue,goal,Rival,496,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_060,Wisp,12,2,Blue,goal,Rival,516,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_060,Wisp,13,3,Blue,goal,Rival,556,1,0,Rival,0,0,1,0,2,2,1,0,0,0
plus_060,Wisp,14,4,Blue,hard_time,None,5400,7,17,Rival,0,2,7,5,22,9,2,0,0,0
plus_060,Wisp,15,0,Blue,goal,Rival,600,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_060,Wisp,16,1,Blue,goal,Wisp,2240,1,11,Rival,0,0,1,3,9,9,0,1,0,0
plus_060,Wisp,17,2,Blue,goal,Rival,532,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_060,Wisp,18,3,Blue,goal,Rival,508,1,0,Rival,0,0,1,0,2,1,1,0,0,0
plus_060,Wisp,19,4,Blue,goal,Wisp,1256,3,4,Rival,0,0,3,3,7,4,0,0,0,0
plus_060,Wisp,20,0,Blue,goal,Wisp,1628,1,9,Rival,0,0,1,3,4,4,0,0,0,0
plus_060,Wisp,21,1,Blue,hard_time,None,5400,8,37,Rival,0,1,8,12,25,13,0,0,0,0
plus_060,Wisp,22,2,Blue,hard_time,None,5400,7,23,Rival,0,2,7,10,22,11,0,0,0,0
plus_060,Wisp,23,3,Blue,goal,Rival,540,1,0,Rival,0,0,1,0,2,2,1,0,0,0
plus_060,Wisp,24,4,Blue,goal,Rival,2832,16,30,Rival,0,0,9,6,12,6,2,1,0,0
plus_060,Wisp,25,0,Blue,goal,Rival,568,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_060,Wisp,26,1,Blue,goal,Wisp,2024,1,36,Rival,0,0,1,4,10,5,0,0,0,0
plus_060,Wisp,27,2,Blue,goal,Rival,528,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_060,Wisp,28,3,Blue,goal,Rival,504,1,0,Rival,0,0,1,0,2,1,1,0,0,0
plus_060,Wisp,29,4,Blue,hard_time,None,5400,9,48,Rival,0,0,8,9,19,12,1,0,0,0
plus_060,Wisp,30,0,Blue,goal,Rival,4076,4,7,Rival,0,0,4,5,12,10,0,0,0,0
plus_060,Wisp,31,1,Blue,goal,Rival,3408,6,29,Rival,0,0,6,2,15,11,0,0,0,0
plus_060,Wisp,32,2,Blue,goal,Rival,540,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_060,Wisp,33,3,Blue,goal,Wisp,1532,1,2,Rival,0,0,1,2,5,5,1,0,0,0
plus_060,Wisp,34,4,Blue,goal,Wisp,1840,10,5,Rival,0,0,8,4,9,6,0,0,0,0
plus_060,Wisp,35,0,Blue,goal,Rival,556,1,0,Rival,0,0,1,0,2,3,0,0,0,0
plus_060,Wisp,36,1,Blue,goal,Rival,504,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_060,Wisp,37,2,Blue,goal,Rival,492,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_060,Wisp,38,3,Blue,goal,Rival,516,1,0,Rival,0,0,1,0,2,1,0,0,0,0
plus_060,Wisp,39,4,Blue,goal,Wisp,2580,5,24,Rival,0,0,5,6,10,5,0,0,0,0
plus_060,Wisp,40,0,Blue,hard_time,None,5400,7,10,Rival,1,0,7,8,18,10,2,0,0,0
plus_060,Wisp,41,1,Blue,hard_time,None,5400,15,16,Rival,0,2,13,6,21,14,0,0,0,0
plus_060,Wisp,42,2,Blue,goal,Rival,524,1,0,Rival,0,0,1,0,2,3,0,0,0,0
plus_060,Wisp,43,3,Blue,goal,Rival,508,1,0,Rival,0,0,1,0,2,2,1,0,0,0
