checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
plus_090,Nexto,0,0,Blue,goal,Nexto,1600,3,3,Rival,0,0,3,2,3,3,0,0,0,0
plus_090,Nexto,1,1,Blue,goal,Nexto,1832,2,8,Rival,0,0,2,3,5,5,0,0,0,0
plus_090,Nexto,2,2,Blue,goal,Nexto,2464,5,6,Rival,0,0,4,4,9,5,1,0,0,0
plus_090,Nexto,3,3,Blue,goal,Nexto,1928,2,6,Rival,0,0,2,6,7,5,0,0,0,0
plus_090,Nexto,4,4,Blue,goal,Rival,560,2,1,Rival,0,0,2,1,2,1,0,0,0,0
plus_090,Nexto,5,0,Orange,goal,Rival,1772,5,4,Rival,0,0,5,1,5,1,0,0,0,0
plus_090,Nexto,6,1,Orange,goal,Nexto,1956,2,6,Rival,0,0,2,3,8,3,0,0,0,0
plus_090,Nexto,7,2,Orange,goal,Nexto,1664,2,4,Rival,0,0,2,4,5,5,0,0,0,0
plus_090,Nexto,8,3,Orange,goal,Nexto,2552,2,6,Rival,0,0,2,5,9,6,0,0,0,0
plus_090,Nexto,9,4,Orange,goal,Rival,560,2,1,Rival,0,0,2,1,2,1,0,0,0,0
