checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
plus_060,Nexto,0,0,Blue,goal,Nexto,900,2,3,Rival,1,0,2,3,5,3,0,0,0,0
plus_060,Nexto,1,1,Blue,goal,Nexto,2056,3,6,Rival,0,0,3,5,7,4,0,0,0,0
plus_060,Nexto,2,2,Blue,goal,Nexto,2936,2,14,Rival,0,0,2,6,8,4,0,0,0,0
plus_060,Nexto,3,3,Blue,goal,Nexto,3120,2,8,Rival,0,0,2,7,13,6,1,0,0,0
plus_060,Nexto,4,4,Blue,goal,Nexto,1736,2,16,Rival,0,0,2,3,5,2,0,0,0,0
plus_060,Nexto,5,0,Orange,goal,Nexto,916,2,3,Rival,1,0,2,3,5,2,0,0,0,0
plus_060,Nexto,6,1,Orange,goal,Nexto,1520,2,4,Rival,0,0,2,4,5,3,0,0,0,0
plus_060,Nexto,7,2,Orange,goal,Nexto,1420,2,3,Rival,0,0,2,3,5,3,0,0,0,0
plus_060,Nexto,8,3,Orange,goal,Nexto,2124,2,4,Rival,0,0,2,4,5,3,0,0,0,0
plus_060,Nexto,9,4,Orange,goal,Nexto,1840,3,24,Rival,0,0,3,3,7,2,0,0,0,0
