checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
plus_060,Wisp,0,0,Blue,goal,Rival,564,1,0,Rival,0,0,1,0,2,3,0,0,0,0
plus_060,Wisp,1,1,Blue,goal,Rival,2688,2,6,Rival,0,0,2,4,11,6,1,0,0,0
plus_060,Wisp,2,2,Blue,goal,Rival,528,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_060,Wisp,3,3,Blue,goal,Rival,496,1,0,Rival,0,0,1,0,2,1,1,0,0,0
plus_060,Wisp,4,4,Blue,goal,Rival,828,3,1,Rival,0,0,3,1,3,4,1,0,0,0
plus_060,Wisp,5,0,Orange,goal,Rival,564,1,0,Rival,0,0,1,0,2,0,0,0,0,0
plus_060,Wisp,6,1,Orange,goal,Wisp,5212,8,35,Rival,0,2,8,11,17,11,0,0,0,0
plus_060,Wisp,7,2,Orange,goal,Rival,528,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_060,Wisp,8,3,Orange,goal,Rival,520,1,0,Rival,0,0,1,0,2,2,1,0,0,0
plus_060,Wisp,9,4,Orange,goal,Rival,924,6,2,Rival,0,1,6,2,4,4,1,0,0,0
