checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
plus_060,Nexto,0,0,Blue,goal,Nexto,1700,3,7,Rival,1,0,3,4,9,3,0,0,0,0
plus_060,Nexto,1,1,Blue,goal,Nexto,1024,2,2,Rival,0,0,2,2,6,1,0,0,0,0
plus_060,Nexto,2,2,Blue,goal,Nexto,2460,3,5,Rival,0,0,2,4,11,3,0,1,0,0
plus_060,Nexto,3,3,Blue,goal,Nexto,2152,5,7,Rival,0,0,4,6,10,2,0,0,0,0
plus_060,Nexto,4,4,Blue,goal,Nexto,1076,2,2,Rival,0,0,2,2,3,2,0,0,0,0
plus_060,Nexto,5,0,Blue,goal,Nexto,1768,4,6,Rival,0,0,4,4,3,5,0,0,0,0
plus_060,Nexto,6,1,Blue,goal,Nexto,1036,3,4,Rival,0,0,3,4,5,3,0,0,0,0
plus_060,Nexto,7,2,Blue,goal,Nexto,2032,5,44,Rival,0,0,5,3,9,4,0,1,0,0
plus_060,Nexto,8,3,Blue,goal,Nexto,756,2,2,Rival,0,0,2,2,2,1,0,0,0,0
plus_060,Nexto,9,4,Blue,goal,Nexto,1856,2,9,Rival,0,0,2,6,8,6,0,0,0,0
plus_060,Nexto,10,0,Blue,goal,Nexto,3788,6,12,Rival,1,0,6,9,15,8,0,0,0,0
plus_060,Nexto,11,1,Blue,goal,Nexto,1524,2,3,Rival,0,0,2,3,5,3,2,0,0,0
plus_060,Nexto,12,2,Blue,goal,Nexto,1900,3,24,Rival,0,0,3,2,6,1,0,0,0,0
plus_060,Nexto,13,3,Blue,goal,Nexto,1476,3,4,Rival,0,0,3,3,8,3,0,0,0,0
plus_060,Nexto,14,4,Blue,goal,Nexto,932,3,27,Rival,0,0,3,8,3,2,0,0,0,0
plus_060,Nexto,15,0,Blue,goal,Nexto,1528,1,22,Rival,0,0,1,1,4,3,0,0,0,0
plus_060,Nexto,16,1,Blue,goal,Nexto,2032,3,5,Rival,0,0,3,4,9,5,1,0,0,0
plus_060,Nexto,17,2,Blue,goal,Nexto,1620,2,4,Rival,0,0,2,2,7,3,0,1,0,0
plus_060,Nexto,18,3,Blue,goal,Nexto,4496,7,22,Rival,1,0,6,10,20,7,0,0,0,0
plus_060,Nexto,19,4,Blue,goal,Nexto,2008,3,4,Rival,0,0,3,3,7,2,0,0,0,0
plus_060,Nexto,20,0,Blue,goal,Nexto,3772,9,19,Rival,0,0,4,5,17,6,0,0,0,0
plus_060,Nexto,21,1,Blue,goal,Nexto,1072,2,2,Rival,0,0,2,2,7,2,0,0,0,0
plus_060,Nexto,22,2,Blue,goal,Nexto,1652,3,10,Rival,0,0,3,4,7,4,0,0,0,0
plus_060,Nexto,23,3,Blue,goal,Nexto,1564,2,8,Rival,0,0,2,7,6,3,0,0,0,0
plus_060,Nexto,24,4,Blue,goal,Nexto,1592,3,5,Rival,0,0,3,4,7,2,1,0,0,0
plus_060,Nexto,25,0,Blue,goal,Nexto,3608,6,20,Rival,1,0,6,5,10,5,1,0,0,0
plus_060,Nexto,26,1,Blue,goal,Nexto,744,1,2,Rival,0,0,1,2,3,1,0,0,0,0
plus_060,Nexto,27,2,Blue,goal,Rival,760,3,1,Rival,0,0,3,1,3,2,0,1,0,0
plus_060,Nexto,28,3,Blue,goal,Nexto,1532,3,6,Rival,0,0,3,6,6,5,0,0,0,0
plus_060,Nexto,29,4,Blue,goal,Nexto,2508,4,25,Rival,0,0,4,4,11,4,0,0,0,0
plus_060,Nexto,30,0,Blue,goal,Nexto,832,1,3,Nexto,1,0,1,3,5,3,0,0,0,0
plus_060,Nexto,31,1,Blue,goal,Nexto,1944,2,7,Rival,0,0,2,2,10,4,0,0,0,0
plus_060,Nexto,32,2,Blue,goal,Nexto,1844,4,6,Rival,0,0,4,3,8,3,0,0,0,0
plus_060,Nexto,33,3,Blue,goal,Nexto,2140,3,5,Rival,0,0,3,4,7,4,0,0,0,0
plus_060,Nexto,34,4,Blue,goal,Nexto,3464,40,31,Rival,0,0,12,9,15,4,0,1,0,0
plus_060,Nexto,35,0,Blue,goal,Nexto,1592,2,5,Rival,0,0,2,2,4,3,0,0,0,0
plus_060,Nexto,36,1,Blue,goal,Nexto,1016,2,2,Rival,0,0,2,2,6,1,0,0,0,0
plus_060,Nexto,37,2,Blue,goal,Nexto,1740,3,3,Rival,0,0,3,3,7,7,1,0,0,0
plus_060,Nexto,38,3,Blue,goal,Nexto,2784,3,16,Rival,0,0,3,6,11,5,0,0,0,0
plus_060,Nexto,39,4,Blue,goal,Nexto,2940,4,6,Rival,0,1,4,3,11,5,1,0,0,0
