checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
plus_030,Wisp,0,0,Blue,goal,Wisp,3908,4,11,Rival,0,0,4,6,11,11,1,0,0,0
plus_030,Wisp,1,1,Blue,goal,Rival,536,1,0,Rival,0,0,1,0,2,3,0,0,0,0
plus_030,Wisp,2,2,Blue,goal,Rival,540,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_030,Wisp,3,3,Blue,goal,Rival,508,1,0,Rival,0,0,1,0,2,1,0,0,0,0
plus_030,Wisp,4,4,Blue,goal,Rival,872,4,2,Rival,0,0,4,2,3,4,0,0,0,0
plus_030,Wisp,5,0,Blue,goal,Wisp,2768,5,6,Rival,0,0,3,4,9,8,0,0,0,0
plus_030,Wisp,6,1,Blue,goal,Rival,644,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_030,Wisp,7,2,Blue,goal,Rival,2988,4,4,Rival,0,0,4,3,13,10,0,1,0,0
plus_030,Wisp,8,3,Blue,goal,Rival,516,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_030,Wisp,9,4,Blue,hard_time,None,5400,12,23,Rival,0,0,4,8,20,12,0,0,0,0
plus_030,Wisp,10,0,Blue,hard_time,None,5400,7,9,Rival,0,2,6,7,20,13,1,0,0,0
plus_030,Wisp,11,1,Blue,hard_time,None,5400,3,43,Rival,0,0,3,5,16,9,0,0,0,0
plus_030,Wisp,12,2,Blue,goal,Rival,520,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_030,Wisp,13,3,Blue,goal,Rival,580,1,0,Rival,0,0,1,0,2,3,0,0,0,0
plus_030,Wisp,14,4,Blue,goal,Wisp,2460,4,5,Rival,0,0,3,4,6,9,1,0,0,0
plus_030,Wisp,15,0,Blue,goal,Rival,560,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_030,Wisp,16,1,Blue,goal,Wisp,2584,2,8,Rival,0,0,1,3,8,7,0,0,0,0
plus_030,Wisp,17,2,Blue,goal,Rival,544,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_030,Wisp,18,3,Blue,goal,Rival,540,1,0,Rival,0,0,1,0,2,2,1,0,0,0
plus_030,Wisp,19,4,Blue,goal,Wisp,2836,3,31,Rival,0,1,3,7,12,5,0,0,0,0
plus_030,Wisp,20,0,Blue,goal,Rival,520,1,0,Rival,0,0,1,0,2,1,0,0,0,0
plus_030,Wisp,21,1,Blue,goal,Wisp,1216,1,2,Rival,0,1,1,2,5,5,0,0,0,0
plus_030,Wisp,22,2,Blue,goal,Rival,3132,5,7,Rival,0,0,5,7,10,10,0,1,0,0
plus_030,Wisp,23,3,Blue,goal,Rival,568,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_030,Wisp,24,4,Blue,goal,Wisp,2076,3,6,Rival,0,0,3,5,8,5,0,0,0,0
plus_030,Wisp,25,0,Blue,goal,Wisp,1724,1,22,Rival,0,0,1,2,4,3,0,0,0,0
plus_030,Wisp,26,1,Blue,goal,Rival,540,1,0,Rival,0,0,1,0,2,3,0,0,0,0
plus_030,Wisp,27,2,Blue,goal,Rival,528,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_030,Wisp,28,3,Blue,goal,Rival,524,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_030,Wisp,29,4,Blue,goal,Rival,896,4,1,Rival,0,0,4,1,4,3,1,0,0,0
plus_030,Wisp,30,0,Blue,goal,Rival,976,1,1,Rival,0,0,1,1,2,4,0,0,0,0
plus_030,Wisp,31,1,Blue,goal,Rival,484,1,0,Rival,0,0,1,0,2,2,1,0,0,0
plus_030,Wisp,32,2,Blue,goal,Rival,536,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_030,Wisp,33,3,Blue,goal,Rival,500,1,0,Rival,0,0,1,0,2,1,0,0,0,0
plus_030,Wisp,34,4,Blue,hard_time,None,5400,7,42,Rival,0,1,7,9,22,15,0,0,0,0
plus_030,Wisp,35,0,Blue,goal,Rival,920,3,2,Rival,0,0,3,2,3,4,0,1,0,0
plus_030,Wisp,36,1,Blue,goal,Wisp,4848,8,14,Rival,0,2,7,3,20,14,0,0,0,0
plus_030,Wisp,37,2,Blue,goal,Rival,520,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_030,Wisp,38,3,Blue,goal,Wisp,4188,3,25,Rival,0,0,3,5,16,10,0,0,0,0
plus_030,Wisp,39,4,Blue,goal,Wisp,4276,8,36,Rival,0,0,5,7,14,11,1,0,0,0
