checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
plus_120,Nexto,0,0,Blue,goal,Nexto,1008,2,3,Rival,0,0,2,2,5,1,0,0,0,0
plus_120,Nexto,1,1,Blue,goal,Nexto,1764,2,7,Rival,0,0,2,4,6,5,0,0,0,0
plus_120,Nexto,2,2,Blue,goal,Nexto,1652,2,4,Rival,0,0,2,4,5,4,0,0,0,0
plus_120,Nexto,3,3,Blue,goal,Nexto,1228,2,5,Rival,0,0,2,5,6,2,0,0,0,0
plus_120,Nexto,4,4,Blue,goal,Nexto,904,2,3,Rival,0,0,2,3,5,2,0,0,0,0
plus_120,Nexto,5,0,Blue,goal,Rival,800,3,2,Rival,0,0,3,2,3,2,0,0,0,0
plus_120,Nexto,6,1,Blue,goal,Rival,544,2,1,Rival,0,0,2,1,2,2,0,0,0,0
plus_120,Nexto,7,2,Blue,goal,Nexto,1092,3,5,Rival,0,0,3,4,6,2,0,0,0,0
plus_120,Nexto,8,3,Blue,goal,Nexto,1152,2,5,Rival,0,0,2,4,4,2,0,0,0,0
plus_120,Nexto,9,4,Blue,goal,Rival,556,2,1,Rival,0,0,2,1,2,1,0,0,0,0
plus_120,Nexto,10,0,Blue,goal,Rival,752,3,1,Rival,0,0,3,1,3,1,0,0,0,0
plus_120,Nexto,11,1,Blue,goal,Nexto,788,3,3,Rival,0,0,3,3,4,2,0,0,0,0
plus_120,Nexto,12,2,Blue,goal,Nexto,3040,2,25,Rival,0,0,2,7,12,4,1,0,0,0
plus_120,Nexto,13,3,Blue,goal,Nexto,896,2,8,Rival,0,0,2,7,3,3,0,0,0,0
plus_120,Nexto,14,4,Blue,goal,Rival,764,3,2,Rival,0,0,3,2,2,1,0,0,0,0
plus_120,Nexto,15,0,Blue,goal,Nexto,1604,2,12,Rival,0,0,2,4,10,4,0,0,0,0
plus_120,Nexto,16,1,Blue,goal,Nexto,3508,4,22,Rival,0,0,4,6,16,6,0,0,0,0
plus_120,Nexto,17,2,Blue,goal,Nexto,1188,2,5,Rival,0,0,2,3,4,2,0,1,0,0
plus_120,Nexto,18,3,Blue,goal,Nexto,1688,2,6,Rival,0,0,2,5,7,4,0,0,0,0
plus_120,Nexto,19,4,Blue,goal,Nexto,2340,3,21,Rival,0,1,3,4,9,4,0,0,0,0
plus_120,Nexto,20,0,Blue,goal,Nexto,892,2,3,Rival,0,0,2,3,4,2,0,0,0,0
plus_120,Nexto,21,1,Blue,goal,Nexto,1296,2,4,Rival,0,0,2,4,5,4,0,0,0,0
plus_120,Nexto,22,2,Blue,goal,Nexto,2048,5,5,Rival,0,0,3,5,6,3,0,0,0,0
plus_120,Nexto,23,3,Blue,goal,Nexto,880,2,4,Rival,0,0,2,4,2,2,0,0,0,0
plus_120,Nexto,24,4,Blue,goal,Nexto,1384,3,5,Rival,0,0,3,4,6,3,0,0,0,0
plus_120,Nexto,25,0,Blue,goal,Nexto,1596,1,8,Rival,0,0,1,3,7,3,0,0,0,0
plus_120,Nexto,26,1,Blue,goal,Nexto,2264,5,3,Rival,0,0,4,2,9,4,0,0,0,0
plus_120,Nexto,27,2,Blue,goal,Nexto,892,2,4,Rival,1,0,2,4,5,2,0,0,0,0
plus_120,Nexto,28,3,Blue,goal,Nexto,1476,3,12,Rival,0,0,3,2,6,1,0,0,0,0
plus_120,Nexto,29,4,Blue,goal,Nexto,2252,3,9,Rival,0,1,3,6,11,4,0,0,0,0
plus_120,Nexto,30,0,Blue,goal,Nexto,908,1,2,Rival,0,0,1,1,5,0,0,0,0,0
plus_120,Nexto,31,1,Blue,goal,Nexto,1232,2,7,Rival,0,0,2,5,8,2,0,0,0,0
plus_120,Nexto,32,2,Blue,goal,Nexto,728,2,6,Rival,0,0,2,5,2,3,0,0,0,0
plus_120,Nexto,33,3,Blue,goal,Nexto,2260,4,5,Rival,0,0,4,2,10,3,1,0,0,0
plus_120,Nexto,34,4,Blue,goal,Nexto,1056,2,4,Rival,0,0,2,4,6,2,0,0,0,0
plus_120,Nexto,35,0,Blue,goal,Nexto,1500,3,6,Rival,0,0,3,3,7,4,0,0,0,0
plus_120,Nexto,36,1,Blue,goal,Nexto,1216,3,3,Rival,0,0,3,3,6,2,0,0,0,0
plus_120,Nexto,37,2,Blue,goal,Nexto,3684,5,24,Rival,0,0,5,5,17,3,3,0,0,0
plus_120,Nexto,38,3,Blue,goal,Nexto,1120,1,3,Rival,0,0,1,2,5,2,0,0,0,0
