checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
plus_090,Wisp,0,0,Blue,goal,Rival,552,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_090,Wisp,1,1,Blue,goal,Rival,544,1,1,Rival,0,1,1,1,2,1,0,0,0,0
plus_090,Wisp,2,2,Blue,goal,Rival,496,1,0,Rival,0,0,1,0,2,2,1,0,0,0
plus_090,Wisp,3,3,Blue,goal,Rival,496,1,0,Rival,0,0,1,0,2,2,1,0,0,0
plus_090,Wisp,4,4,Blue,goal,Wisp,2260,2,60,Rival,0,0,2,2,7,5,0,0,0,0
plus_090,Wisp,5,0,Blue,goal,Rival,596,1,0,Rival,0,0,1,0,2,1,0,0,0,0
plus_090,Wisp,6,1,Blue,goal,Rival,504,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_090,Wisp,7,2,Blue,goal,Rival,508,1,0,Rival,0,0,1,0,2,2,1,0,0,0
plus_090,Wisp,8,3,Blue,goal,Rival,500,1,0,Rival,0,0,1,0,2,1,1,0,0,0
plus_090,Wisp,9,4,Blue,goal,Wisp,4176,3,8,Rival,1,0,3,6,20,10,0,0,0,0
plus_090,Wisp,10,0,Blue,goal,Rival,588,1,0,Rival,0,0,1,0,2,1,0,0,0,0
plus_090,Wisp,11,1,Blue,goal,Wisp,3064,4,6,Rival,0,0,1,5,8,11,0,0,0,0
plus_090,Wisp,12,2,Blue,goal,Rival,500,1,0,Rival,0,0,1,0,2,1,1,0,0,0
plus_090,Wisp,13,3,Blue,goal,Rival,500,1,0,Rival,0,0,1,0,2,1,1,0,0,0
plus_090,Wisp,14,4,Blue,goal,Rival,800,3,1,Rival,0,0,3,1,3,3,0,1,0,0
plus_090,Wisp,15,0,Blue,goal,Rival,608,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_090,Wisp,16,1,Blue,goal,Rival,552,1,0,Rival,0,0,1,0,2,3,0,0,0,0
plus_090,Wisp,17,2,Blue,goal,Rival,524,1,0,Rival,0,0,1,0,2,1,1,0,0,0
